id,frames,duration
NY_n387t9gA, 79, 2.633333
NY_n387t9gA, 65, 2.166667
NY_n387t9gA, 17, 0.566667
NY_n387t9gA, 19, 0.633333
NY_n387t9gA, 109, 3.633333
NY_n387t9gA, 19, 0.633333
NY_n387t9gA, 57, 1.900000
NY_n387t9gA, 52, 1.733333
NY_n387t9gA, 43, 1.433333
NY_n387t9gA, 109, 3.633333
NY_n387t9gA, 19, 0.633333
NY_n387t9gA, 75, 2.500000
NY_n387t9gA, 168, 5.600000
NY_n387t9gA, 15, 0.500000
NY_n387t9gA, 49, 1.633333
NY_n387t9gA, 75, 2.500000
NY_n387t9gA, 15, 0.500000
NY_n387t9gA, 23, 0.766667
NY_n387t9gA, 59, 1.966667
NY_n387t9gA, 48, 1.600000
NY_n387t9gA, 53, 1.766667
NY_n387t9gA, 175, 5.833333
NY_n387t9gA, 148, 4.933333
NY_n387t9gA, 38, 1.266667
NY_n387t9gA, 25, 0.833333
NY_n387t9gA, 75, 2.500000
NY_n387t9gA, 69, 2.300000
NY_n387t9gA, 113, 3.766667
NY_n387t9gA, 49, 1.633333
NY_n387t9gA, 68, 2.266667
NY_n387t9gA, 81, 2.700000
NY_n387t9gA, 38, 1.266667
NY_n387t9gA, 17, 0.566667
NY_n387t9gA, 15, 0.500000
NY_n387t9gA, 15, 0.500000
NY_n387t9gA, 55, 1.833333
NY_n387t9gA, 47, 1.566667
NY_n387t9gA, 48, 1.600000
NY_n387t9gA, 75, 2.500000
NY_n387t9gA, 98, 3.266667
NY_n387t9gA, 53, 1.766667
NY_n387t9gA, 22, 0.733333
NY_n387t9gA, 61, 2.033333
NY_n387t9gA, 59, 1.966667
NY_n387t9gA, 92, 3.066667
NY_n387t9gA, 63, 2.100000
NY_n387t9gA, 153, 5.100000
NY_n387t9gA, 75, 2.500000
NY_n387t9gA, 189, 6.300000
NY_n387t9gA, 34, 1.133333
NY_n387t9gA, 77, 2.566667
NY_n387t9gA, 75, 2.500000
NY_n387t9gA, 80, 2.666667
NY_n387t9gA, 41, 1.366667
NY_n387t9gA, 15, 0.500000
NY_n387t9gA, 15, 0.500000
NY_n387t9gA, 76, 2.533333
NY_n387t9gA, 76, 2.533333
NY_n387t9gA, 78, 2.600000
NY_n387t9gA, 16, 0.533333
NY_n387t9gA, 18, 0.600000
NY_n387t9gA, 15, 0.500000
NY_n387t9gA, 15, 0.500000
NY_n387t9gA, 155, 5.166667
NY_n387t9gA, 70, 2.333333
NY_n387t9gA, 79, 2.633333
NY_n387t9gA, 117, 3.900000
NY_n387t9gA, 62, 2.066667
NY_n387t9gA, 87, 2.900000
NY_n387t9gA, 15, 0.500000
NY_n387t9gA, 118, 3.933333
NY_n387t9gA, 137, 4.566667
NY_n387t9gA, 156, 5.200000
NY_n387t9gA, 111, 3.700000
NY_n387t9gA, 9, 0.300000
FfV_uZy8-j8, 1, 0.033367
FfV_uZy8-j8, 125, 4.170833
FfV_uZy8-j8, 143, 4.771433
FfV_uZy8-j8, 25, 0.834167
FfV_uZy8-j8, 102, 3.403400
FfV_uZy8-j8, 50, 1.668333
FfV_uZy8-j8, 59, 1.968633
FfV_uZy8-j8, 191, 6.373033
FfV_uZy8-j8, 32, 1.067733
FfV_uZy8-j8, 112, 3.737067
FfV_uZy8-j8, 35, 1.167833
FfV_uZy8-j8, 56, 1.868533
FfV_uZy8-j8, 67, 2.235567
FfV_uZy8-j8, 26, 0.867533
FfV_uZy8-j8, 32, 1.067733
FfV_uZy8-j8, 41, 1.368033
FfV_uZy8-j8, 45, 1.501500
FfV_uZy8-j8, 35, 1.167833
FfV_uZy8-j8, 95, 3.169833
FfV_uZy8-j8, 45, 1.501500
FfV_uZy8-j8, 33, 1.101100
FfV_uZy8-j8, 24, 0.800800
FfV_uZy8-j8, 26, 0.867533
FfV_uZy8-j8, 28, 0.934267
FfV_uZy8-j8, 70, 2.335667
FfV_uZy8-j8, 50, 1.668333
FfV_uZy8-j8, 51, 1.701700
FfV_uZy8-j8, 25, 0.834167
FfV_uZy8-j8, 16, 0.533867
FfV_uZy8-j8, 63, 2.102100
FfV_uZy8-j8, 17, 0.567233
FfV_uZy8-j8, 15, 0.500500
FfV_uZy8-j8, 15, 0.500500
FfV_uZy8-j8, 126, 4.204200
FfV_uZy8-j8, 18, 0.600600
FfV_uZy8-j8, 58, 1.935267
FfV_uZy8-j8, 38, 1.267933
FfV_uZy8-j8, 35, 1.167833
FfV_uZy8-j8, 96, 3.203200
FfV_uZy8-j8, 20, 0.667333
FfV_uZy8-j8, 34, 1.134467
FfV_uZy8-j8, 40, 1.334667
FfV_uZy8-j8, 36, 1.201200
FfV_uZy8-j8, 73, 2.435767
FfV_uZy8-j8, 57, 1.901900
FfV_uZy8-j8, 84, 2.802800
FfV_uZy8-j8, 44, 1.468133
FfV_uZy8-j8, 30, 1.001000
FfV_uZy8-j8, 69, 2.302300
FfV_uZy8-j8, 20, 0.667333
FfV_uZy8-j8, 43, 1.434767
FfV_uZy8-j8, 68, 2.268933
FfV_uZy8-j8, 87, 2.902900
FfV_uZy8-j8, 54, 1.801800
FfV_uZy8-j8, 36, 1.201200
FfV_uZy8-j8, 31, 1.034367
FfV_uZy8-j8, 58, 1.935267
FfV_uZy8-j8, 30, 1.001000
FfV_uZy8-j8, 34, 1.134467
FfV_uZy8-j8, 38, 1.267933
FfV_uZy8-j8, 36, 1.201200
FfV_uZy8-j8, 87, 2.902900
FfV_uZy8-j8, 35, 1.167833
FfV_uZy8-j8, 28, 0.934267
FfV_uZy8-j8, 24, 0.800800
FfV_uZy8-j8, 15, 0.500500
FfV_uZy8-j8, 50, 1.668333
FfV_uZy8-j8, 27, 0.900900
FfV_uZy8-j8, 26, 0.867533
FfV_uZy8-j8, 16, 0.533867
FfV_uZy8-j8, 22, 0.734067
FfV_uZy8-j8, 57, 1.901900
FfV_uZy8-j8, 151, 5.038367
FfV_uZy8-j8, 19, 0.633967
FfV_uZy8-j8, 19, 0.633967
FfV_uZy8-j8, 33, 1.101100
FfV_uZy8-j8, 36, 1.201200
FfV_uZy8-j8, 32, 1.067733
FfV_uZy8-j8, 84, 2.802800
FfV_uZy8-j8, 82, 2.736067
FfV_uZy8-j8, 65, 2.168833
FfV_uZy8-j8, 29, 0.967633
FfV_uZy8-j8, 30, 1.001000
FfV_uZy8-j8, 79, 2.635967
FfV_uZy8-j8, 47, 1.568233
FfV_uZy8-j8, 15, 0.500500
FfV_uZy8-j8, 33, 1.101100
FfV_uZy8-j8, 15, 0.500500
FfV_uZy8-j8, 34, 1.134467
FfV_uZy8-j8, 18, 0.600600
FfV_uZy8-j8, 26, 0.867533
FfV_uZy8-j8, 36, 1.201200
FfV_uZy8-j8, 19, 0.633967
FfV_uZy8-j8, 59, 1.968633
FfV_uZy8-j8, 23, 0.767433
FfV_uZy8-j8, 160, 5.338667
FfV_uZy8-j8, 148, 4.938267
FfV_uZy8-j8, 467, 15.582233
FfV_uZy8-j8, 53, 1.768433
FfV_uZy8-j8, 17, 0.567233
FfV_uZy8-j8, 28, 0.934267
FfV_uZy8-j8, 19, 0.633967
